이름,플랫폼,작가,그림,장르,상태,요일,조회수,좋아요,총화수,무료,무료주기,줄거리,키워드,첫화링크
사랑받는 막내는 처음이라,kakaowebtoon,나정,와와치,로맨스 판타지,연재,월,521.6만,17.9만,41,3,3시간마다 무료,"세계의 멸망을 막을 유일한 희망으로서모두에게 희생을 강요받는 삶만 99번째제발 이번이 끝이길 바랬는데…""아가씨가 태어나셨어요""기어코 100번째 삶을 시작하고 말았다이번에는 또 뭐지?방치? 학대? 불길한 신탁을 받은 아이?어차피 또 영웅 취급하며 희생시키겠지그렇게 생각했는데, ""우리 막내, 무사히 태어나줘서 고맙구나""""토끼가 좋아? 아니면 호랑이? 언니가 다 구해주께""""우리 막내 웃는 얼굴 나한테도 보여주면 안 될까?""이 가족은 좀 이상하다?","따뜻한,귀여운,로맨스판타지,환생물",https://webtoon.kakao.com/content/%EC%82%AC%EB%9E%91%EB%B0%9B%EB%8A%94-%EB%A7%89%EB%82%B4%EB%8A%94-%EC%B2%98%EC%9D%8C%EC%9D%B4%EB%9D%BC/3835
뒤끝작렬,kakaowebtoon,조석호,시나브로,판타지 드라마,연재,월,"1,791.9만",32.9만,30,1,2일마다 무료,"“야, 착각하지마 난 한번도 널 동생으로 생각한 적 없어 주제를 모르고”가슴을 파고드는 비수였다 한명우명석한 두뇌와 재벌가의 자식이었다다만 하늘은 모든 걸 주지않았다불치병 수준인 선천적 심장병이를 악물고 인정받기 위해 최선 또 최선을 다했다 그러나 아버지인 회장을 비롯해 식구 그 누구도 진심으로 대하지 않았다 그러던 그가 급작스런 사고를 당했다그리고치명적인 부상을 당한 대학생 김철민의 몸으로 들어갔다 건강하다아니 건강하다못해 넘친다잘돌아가는 머리에 체력까지이제 두 마리 토끼를 잡으러 간다꼭 두 마리 토끼여야 했다","따뜻한,통쾌한,판타지드라마,힐링물",https://webtoon.kakao.com/content/%EB%92%A4%EB%81%9D%EC%9E%91%EB%A0%AC/2666
여주와 남주의 아이들을 키우게 되었습니다,kakaowebtoon,S,"삼각, 녹이",로맨스 판타지,연재,월,68.7만,2.4만,41,3,1일마다 무료,"소중한 동생들과 사별한 '예희'는 어느 날 소설 <더 큰 행복 하나> 속 비운의 단역 '메르헨'으로 빙의한다 '메르헨'은 유산의 아픔이 가시기도 전에 남편이 한때 사랑했던 여인의 자식들을 키우게 되는 비참한 여인이다 그런 메르헨에 빙의한 '예희'는 뜻밖에도 이 아이들이 사별한 동생들임을 단번에 알아차리게 된다메르헨에겐 가혹한 현실일지라도 전생의 기억을 안고 있는 '예희'는 동생들의 환생인 아이들을 아끼고 사랑하며, 아이들을 노리는 존재로부터 목숨을 다해 지키는데소설 <더 큰 행복 하나>에 나왔듯, 나라를 수호했던 고룡 '에스카야'는 제국에 3개의 보물을 남겨 두고 떠났다 그 보물 중 하나를 아이들이 갖고 있을 거란 추측으로 위협을 받는 가운데과연 '예희'는 남편과 함께 아이들을 지켜내고, 이 세계로 빙의한 비밀을 알아낼 수 있을까?","귀여운,분노유발,로맨스판타지,빙의물",https://webtoon.kakao.com/content/%EC%97%AC%EC%A3%BC%EC%99%80-%EB%82%A8%EC%A3%BC%EC%9D%98-%EC%95%84%EC%9D%B4%EB%93%A4%EC%9D%84-%ED%82%A4%EC%9A%B0%EA%B2%8C-%EB%90%98%EC%97%88%EC%8A%B5%EB%8B%88%EB%8B%A4/3857
데모나스,kakaowebtoon,유민,로에,로맨스 판타지,연재,월,11.4만,"7,187",32,3,1일마다 무료,"전장 위를 누비는 고결한 기사‘알테어 체르노보그’그녀는 황제로부터전우기자 사랑했던악마의 자식 ‘아인 에스타로트’를 죽이라는 명령을 받지만결국 그에게 죽임을 당한다“아인, 미안해 널 지켜주고 싶었어”——죽은 줄 알고 눈을 떴을 때,수년 전 돌아가셨던 아버지가 살아 있었다과거로 돌아온 알테어는기쁨도 잠시, 아인이 악마로 발현하지 않은 방법을찾기 위해 모든 사활을 걸게 된다평생을 인간에게 핍박받아온 아인을유일하게 구원해낼 수 있는 기회“아인, 당신을 만나길 기다려왔어요약속할게요이번 생에서는 당신을 반드시 지켜내겠다고”","개성있는,따뜻한,로맨스판타지,성공성장물",https://webtoon.kakao.com/content/%EB%8D%B0%EB%AA%A8%EB%82%98%EC%8A%A4/3865
어린 흑막의 형수님이 되었다,kakaowebtoon,"슈퍼코믹스스튜디오, 먀오",슈퍼코믹스스튜디오,로맨스 판타지,연재,월,118.2만,4.2만,37,3,3시간마다 무료,"기억상실증에 걸린 엑스트라에 빙의 후 우연히 아이를 구했는데, 얘가 흑막이었다……어?흑막에게는 요정의 저주 때문에 죽는 형이 있었다 그가 흑화 계기고딱한 형제들 내가 그 요정을 만나면 죽사발 내줬을 텐데, 안타깝게도 나는 엑스트라……“엘리아?”잠깐, ……그 요정이 나네?","귀여운,통쾌한,로맨스판타지,육아물",https://webtoon.kakao.com/content/%EC%96%B4%EB%A6%B0-%ED%9D%91%EB%A7%89%EC%9D%98-%ED%98%95%EC%88%98%EB%8B%98%EC%9D%B4-%EB%90%98%EC%97%88%EB%8B%A4/3908
던전 호텔에 오신 것을 환영합니다,kakaowebtoon,지징구,지징구,판타지 드라마,연재,월,46.1만,2.2만,26,3,3시간마다 무료,"퇴사 후 욜로를 꿈꾸며 한적한 곳에서 카페를 하려고 했다그런데 카페가 아닌…… 호텔 경영자로 각성했다?[클래스 : 호텔 경영자(히든)로 각성했습니다][스킬 : 하우스 키핑(C)을 획득했습니다]게다가 이 호텔에 오는 손님들 전부 헌터다헌터들이 와서 자꾸만 나에게 돈을 주고 간다한가롭기 그지없는 주제에 돈은 자꾸만 벌리는,이 이상하고 아름다운 던전 호텔 경영자 노릇에도 점점 익숙해갈 즈음—“어서 오세요, 영춘 호텔에 오신 것을 환영합니다”내가 환한 미소로 고개를 든 순간이었다나는 그가 누구인지 알아채고 그대로 굳어버렸다그는 이곳에 있어서는 안 되는 사람이었다한우현대한민국 1위 랭커인 한우현마저도 우리 호텔 손님으로 왔다***던전 안에서 보라색 간판을 보면 그 안으로 재빠르게 뛰어 들어가라던전에 지친 헌터들이여, 그곳이 당신을 위한 안식이 되어주리라※예약 문의 : 02-123-4567","평온한,따뜻한,판타지드라마,힐링물",https://webtoon.kakao.com/content/%EB%8D%98%EC%A0%84-%ED%98%B8%ED%85%94%EC%97%90-%EC%98%A4%EC%8B%A0-%EA%B2%83%EC%9D%84-%ED%99%98%EC%98%81%ED%95%A9%EB%8B%88%EB%8B%A4/3997
만 년 만에 귀환한 플레이어,kakaowebtoon,드포,빈,액션/무협,연재,월,819.9만,27.7만,78,3,3시간마다 무료,"어느 날, 갑작스럽게 지옥으로 떨어졌다 가진 것은 살고 싶다는 갈망과 포식의 권능 뿐 일천의 지옥부터 구천의 지옥까지 수만, 수십만의 악마를 잡아먹었고 마침내 일곱 대공까지 그 앞에 무릎을 꿇었다 ""어째서 돌아가려고 하십니까? 왕께서는 이미 지옥의 모든 것을 가지고 계시지 않습니까""""가지긴 뭘 다 가져""먹을 것도, 즐길 것도 없다 지옥에 있는 거라고는 황량한 대지와 끔찍한 악마 뿐 ""난 돌아갈 거야""만 년이라는 아득한 시간 만에 그가 지구로 귀환한다그러나 지구는 자신이 그동안 알던 지구가 아니었다","압도되는,역동적인,액션/무협,레벨업물",https://webtoon.kakao.com/content/%EB%A7%8C-%EB%85%84-%EB%A7%8C%EC%97%90-%EA%B7%80%ED%99%98%ED%95%9C-%ED%94%8C%EB%A0%88%EC%9D%B4%EC%96%B4/2981
소공녀는 파혼을 기다린다,kakaowebtoon,복장,AK,로맨스 판타지,연재,월,116만,4.4만,55,3,1일마다 무료,"""사비나? 얘는 뭔데 여주 보다 비중이 높아?""친구에게 조언해 줄 땐 몰랐다""차라리 남주가 얘를 직접 죽이는 건 어때?감정을 모르는 사이코패스인 거지""내가 그 사이코패스에게 죽는 사비나가 될 거라곤죽지 않으려면 사이코패스 황자를 피해야 하는데,피하면 피할수록 더 깊이 얽히는 듯한 건 기분 탓인가?""사비나, 아무도 모르는 곳으로, 같이 도망쳐 버릴까?""[도망치지 못하도록, 영원히 가둬 버릴까]이 사이코패스 황자가 나에게 집착하고 있다?난 죽기 싫다고제발 파혼해 주세요 황자님","긴장감있는,설레는,로맨스판타지,빙의물",https://webtoon.kakao.com/content/%EC%86%8C%EA%B3%B5%EB%85%80%EB%8A%94-%ED%8C%8C%ED%98%BC%EC%9D%84-%EA%B8%B0%EB%8B%A4%EB%A6%B0%EB%8B%A4/3537
남편교체,kakaowebtoon,스튜디오 푸딩,스튜디오 푸딩,로맨스 판타지,연재,월,98.3만,2.6만,42,3,1일마다 무료,"자신의 감정을 사랑이라 믿었지만 남편인 조제프의 학대만 받다 아이를 가진 채 죽임을 당한 아실리 남편을 저주할 새도 없이 눈을 떠보니 결혼전으로 돌아와 있었다 그 지옥 같은 생활을 다시 해야 한다는 위기감에 그녀는 필사적으로 자신을 구원할 남자를 찾는다 아실리는 곧장 약혼녀들이 의문의 죽음을 당해 저주를 받았다는 소문이 파다한 에스페라드 카메디치 공작을 찾아간다 “저 아실리는 그란디에 공작 전하께 혼인을 청하는 바입니다”“영애가 하신 말씀은 지금 죽기라도 바란다는 말입니까? 영애에게는 제게 닥친 불행이 장난 같습니까?”아실리는 알고 있다 이 남자는 미래에 왕위를 계승하여 황제가 된다는 것을…에스페라드에게 걸린 저주를 이겨내고 그의 마음을 얻지만 이내 왕위 계승권을 둘러싼 음모에 휘말리는 아실리 게다가 겨우 남편을 교체했더니 빌어먹을 전 남편이 끊임없이 시비를 걸어온다 아실리는 과연 시공간을 넘어 복수, 남편 교체에 성공할 수 있을까?","분노유발,처절한,로맨스판타지,복수물",https://webtoon.kakao.com/content/%EB%82%A8%ED%8E%B8%EA%B5%90%EC%B2%B4/3912
불패검선,kakaowebtoon,FIST CAT,김찬영,액션/무협,연재,월,"2,956만",72.6만,213,4,1일마다 무료,시골 객점의 아들 송우문어릴 적부터 몸이 약했던 그는어느 날 노도사가 그려 주고 간산수화를 보고 바보가 된다 그렇게 동네에선 바보라 놀림받고부모에겐 한심한 아들로 자라지만 스무 살이 되던 날각성과 함께 산수화 속 절대무공을 꽃피운다,"몰입되는,통쾌한,액션/무협,성공성장물",https://webtoon.kakao.com/content/%EB%B6%88%ED%8C%A8%EA%B2%80%EC%84%A0/1985
아기 다람쥐가 다 잘해요,kakaowebtoon,혹등고래,한소영,로맨스 판타지,연재,월,310.5만,16.5만,30,0,3시간마다 무료,"사자 가문에서 태어난 유약한 다람쥐 수인 베아티그 탓에 수도 이모집에서 구박데기로 살다유일한 친구이자 약혼자인 2황자에게꿈을 이루기 위해 떠나겠다고 말한 순간,'리테르 너 이 나쁜 새끼…'그놈의 독니에 죽었다다시 눈을 떴더니 2왕자와 엮이기 전의 어린 시절이럴 때 필요한 건 뭐? 스피드바로 몸만 빼내 친부 사자공의 영지로 튀었다비록 환영받진 못하겠지만그래도 앞으로 발견될 이 엄청난 비법을 가져가 준다면, 내쫓지는 않을 거……""어서 오십시오, 아가씨""""세상에 언제 이렇게 자라셔서…""""아가씨가 저 앙증맞은 두 발로 걸으신다""……응? 왜 이렇게 환영하지?저거 설마 내 동상이야?","발랄한,귀여운,로맨스판타지,수인물",https://webtoon.kakao.com/content/%EC%95%84%EA%B8%B0-%EB%8B%A4%EB%9E%8C%EC%A5%90%EA%B0%80-%EB%8B%A4-%EC%9E%98%ED%95%B4%EC%9A%94/3138
철벽의 영애,kakaowebtoon,Asahi Martha,Ayahara Bobo,로맨스 판타지,연재,월,20.8만,"4,699",60,1,1일마다 무료," [사랑과 맞바꾸어 운명을 뒤집는 악녀] 후작영애 밀리아나는 황자와 약혼하여 행복한 나날을 보내던 중, 돌연 황제를 암살했다는 오명을 쓰고 처형당하고 만다 그러나 죽음의 순간, 어디선가 들려온 목소리에 이끌려 1000번의 인생을 경험하게 된 밀리아나 각각의 인생에서 다양한 능력을 익히고 1001번째 인생에서 드디어 자기 자신, '밀리아나'의 삶으로 회귀한다 첫 번째 인생에서는 일어나지 않았던 사건, 만나지 못했던 인물들, 그리고 여기저기 도사리고 있는 모략까지… 밀리아나는 어떻게든 지난 생에서 잃은 사람들을 살리기 위해 노력한다 그러나 '아무도 죽지 않는 세계'를 위해서는 밀리아나가 그 누구와도 이어져선 안 된다…?","분노유발,몰입되는,로맨스판타지,회귀물",https://webtoon.kakao.com/content/%EC%B2%A0%EB%B2%BD%EC%9D%98-%EC%98%81%EC%95%A0/3605
샤크 와이번,kakaowebtoon,운(雲),돈길(악어스튜디오),학원/판타지,연재,월,111.2만,3.3만,53,54,연재 무료,"""여수에서 돈 자랑 말고, 순천에서 인물 자랑 말고, 벌교에서 주먹 자랑 마라”라는 오랜 격언이 있는데…벌교에서 주먹 자랑을 대차게 해버린 18세 고교생 현우용참빛 소년교도소에 2년간 수감 후 21세에 고등학생으로 복학한 그는 여느 학생들처럼 평범하게 졸업하려 애를 써보지만…학교폭력이 판을 치고 온갖 부당행위가 가득한 이곳에서그의 인내심은 바닥을 드러내고 폭발하고 만다카카오페이지 밀리언페이지 <샤크>의 프리퀄‘샤크’ 시즌2 빌런 '현우용'의 남다른 과거가 밝혀진다","분노유발,통쾌한,학원/판타지,조직/암흑가",https://webtoon.kakao.com/content/%EC%83%A4%ED%81%AC-%EC%99%80%EC%9D%B4%EB%B2%88/3616
아기 성녀님은 세상을 멸망시키고 싶어!,kakaowebtoon,RK스튜디오,RK스튜디오,로맨스 판타지,연재,월,56.2만,3.1만,58,3,1일마다 무료,"대륙의 재앙이라 불리는 위대한 마녀, 루시펠라99번의 환생에 지친 그녀는 세상을 멸망시키기로 결심했다여신의 신전에 잠들어 있는 금단의 마법을 얻고자에스페리아와의 전쟁을 앞둔 어느 날“성녀님”“으아앙(꺼져)”적이었던 대주교 바하만의 얼굴을 힘차게 걷어찬 루시는자신의 100번째 환생이 성녀라는 사실을 알게 된다그렇게 시작된 적과의 동침(?)은……“저희를 이끌어 주십시오, 성녀님”……의외로 재밌다“여신께서 강림하셨다”“성녀님, 만세”살아 있는 여신으로 칭송받으며 모두의 관심을 받던 그때까지만 해도 참 즐거웠다“이렇게 어려진 당신을 보는 것도 나쁘진 않네요”대마녀 루시펠라의 수제자, 크롬이 찾아오기 전까지는","귀여운,발랄한,로맨스판타지,육아물",https://webtoon.kakao.com/content/%EC%95%84%EA%B8%B0-%EC%84%B1%EB%85%80%EB%8B%98%EC%9D%80-%EC%84%B8%EC%83%81%EC%9D%84-%EB%A9%B8%EB%A7%9D%EC%8B%9C%ED%82%A4%EA%B3%A0-%EC%8B%B6%EC%96%B4/3622
재투성이 소녀는 빛의 공녀님,kakaowebtoon,Izumi Sasa,Shimano,로맨스 판타지,연재,월,15.4만,"5,491",49,3,3시간마다 무료,"잿빛 머리의 고아 '신더'는재처럼 더럽다고 천대받으며 노예로 부려지는 고통스러운 나날을 보내고 있었다유일한 마음의 쉼터인 말벗은 작은 새 '심'뿐그런데 어느 날 밝혀진신더가 '빛의 여신'의 후예이자 일제스타 가문의 유일한 딸이라는 소식그렇게 신더는 하루아침에 후작가의 영애가 된다지금까지의 괴로운 나날로부터 해방되어 다른 삶을 살게 된 신더는'루미엘라(빛)'라는 진짜 이름을 얻으며 조금씩 자존감을 되찾아 간다처음으로 가지게 된 '가족'이라는 존재에 당황하면서도,상냥한 오빠들 사이에서 사랑받으며 후작 영애로서의 삶이 시작된다                ","따뜻한,설레는,로맨스판타지,힐링물",https://webtoon.kakao.com/content/%EC%9E%AC%ED%88%AC%EC%84%B1%EC%9D%B4-%EC%86%8C%EB%85%80%EB%8A%94-%EB%B9%9B%EC%9D%98-%EA%B3%B5%EB%85%80%EB%8B%98/3794
갑자기 엄마가 되었습니다,kakaowebtoon,매민,김08,로맨스,시즌완결,월,26.6만,"9,868",37,38,연재 무료,"3포 세대 주인공 앞에 나타난 전생의 아들의 부탁근데 지금 나는 아이를 낳을 상황이 아닌데…?삶에 치여 연애 한 번 제대로 못해본 ‘한다감＇의 앞에전생의 아들 ‘최정식’이 나타나 이번 생에 자신을 낳아달라는 부탁을 한다학자금 대출, 전세 대출, 갓 시작한 일… 아이를 낳을 여건이되지 않는 다감은 정식의 부탁을 거절하려 하나,그런 다감에게 정식은 연애부터 차근차근 시작할 것을 제안한다하지만 제대로 된 연애를 해본 적 없는 ‘연애바보’ 한다감의 연애 작전은번번히 실패하게 되는데…과연 다감은 안정적인 연애와 함께 정식을 낳게 될 것인가?아니면, 전혀 다른 선택을 하게 될까?","과감한,웃기는,로맨스,로맨틱코미디물",https://webtoon.kakao.com/content/%EA%B0%91%EC%9E%90%EA%B8%B0-%EC%97%84%EB%A7%88%EA%B0%80-%EB%90%98%EC%97%88%EC%8A%B5%EB%8B%88%EB%8B%A4/3643
롱리브더킹,kakaowebtoon,버드나무숲,버드나무숲,드라마,연재,월,731.1만,28.6만,180,0,3시간마다 무료,"한 여인을 위해 불가능에 도전하는 남자가 있다 의리와 사랑을 빼고는 아무것도 없다고 말하는 남자 장세출 사랑하는 여인 강소현을 위해, 목숨보다 더 소중한 친구 정춘택을 위해, 목포 건달 장세출은 대통령이라는 꿈에 도전한다","감동적인,분노유발,드라마,정치물",https://webtoon.kakao.com/content/%EB%A1%B1%EB%A6%AC%EB%B8%8C%EB%8D%94%ED%82%B9/2302
